KT04H020,25,F
KT04H020,43,F
KT04H020,0,M
KT04H020,19,M
KT04H037,68,F
KT04H037,70,M
KT04H037,19,M
KT04H037,3,M
KT05H001,36,F
KT05H001,42,M
KT05H018,29,F
KT05H018,28,M
KT05H018,6,M
KT09H001,15,F
KT09H010,0,F
KT09H025,15,F
KT09H025,33,F
KT09H025,32,M
KT11H045,37,F
KT11H045,61,F
KT11H045,61,F
KT11H045,11,M
KT11H045,35,M
LD01H001,47,F
LD01H001,13,M
LD01H001,1,M
LD01H037,11,F
LD01H037,29,F
LD01H037,34,M
LD01H051,19,F
LD01H051,1,F
LD01H051,5,M
LD01H073,28,F
LD01H116,14,F
LD01H116,47,F
LD02H001,6,M
LD02H002,13,M
LD02H002,10,M
LD02H008,10,F
LD02H008,26,F
LD02H031,0,M
LD02H033,17,M
LD02H042,10,M
LD02H055,15,F
LD02H055,74,F
LD02H056,13,F
LD02H056,39,F
LD02H075,45,F
LD02H075,17,F
LD02H075,19,F
LD02H075,13,F
LD02H075,37,F
LD02H075,51,M
LD02H075,8,M
LD02H083,40,F
LD02H083,16,M
LD02H084,32,F
LD02H084,8,M
LD02H084,37,M
LD02H084,13,M
LD02H085,14,M
LD02H098,52,F
LD02H098,13,M
LD02H098,60,M
LD02H098,13,M
LD02H099,2,M
LD05H001,15,F
LD05H001,19,F
LD05H001,32,M
LD05H008,5,F
LD05H043,81,F
LD05H043,21,F
LD05H043,13,M
LD05H051,55,F
LD05H075,0,F
LD07H001,7,F
LD07H001,30,F
LD07H001,46,F
LD07H001,51,M
LD07H001,15,M
LD07H030,42,F
LD07H030,21,F
LD07H030,14,F
LD07H030,6,M
LD07H030,48,M
LD10H001,42,F
LD10H001,67,F
LD10H001,12,M
LD10H001,71,M
LD10H021,35,F
LD10H021,71,F
LD10H021,37,F
LD10H021,12,M
LD10H021,8,M
LD10H021,9,M
LD10H026,3,M
LD10H042,3,F
LD10H043,21,F
LD10H043,4,M
LD10H043,67,M
LD10H044,70,M
LD10H044,13,M
LD10H055,5,F
NB01H001,15,F
NB01H001,17,M
NB01H032,48,F
NB01H032,10,F
NB02H373,12,M
NB02H377,6,M
NB02H384,3,M
NB02H384,1,M
NB02H389,33,F
NB02H389,1,M
NB02H427,11,F
NB02H427,45,F
NB02H427,50,M
NB02H580,47,F
NB02H580,10,F
NB02H580,8,F
NB02H580,54,M
NB02H580,13,M
NB02H580,2,M
NB04H001,36,F
NB04H001,6,F
NB04H040,3,M
NB04H041,15,F
NB04H044,49,F
NB04H044,3,F
NB04H045,18,F
NB04H045,23,M
NB04H049,1,M
NB04H055,54,F
NB04H055,53,M
NB04H056,11,F
NB04H063,72,F
NB04H086,15,F
NB04H086,38,F
NB04H086,15,F
NB04H086,10,F
NB04H087,46,F
NB04H087,12,M
NB04H106,13,M
NB04H125,12,F
NB04H125,68,F
NB05H121,17,M
NB05H121,26,M
NB06H001,7,F
NB06H001,49,F
NB06H008,0,M
NB06H012,0,F
NB06H016,1,F
NB06H032,40,F
NB06H032,45,M
NB06H033,43,F
NB06H046,38,F
NB06H046,2,F
NB06H046,8,M
NB06H047,37,F
NB06H047,9,M
NB06H052,1,M
NB06H053,46,F
NB06H055,37,F
NB06H055,5,F
NB06H055,9,M
NB06H056,52,F
NB06H056,8,M
NB06H073,61,F
NB06H073,4,F
NB06H073,64,M
NB06H073,13,M
NB06H084,28,F
NB06H084,7,M
NB06H085,0,M
NB09H001,25,F
NB09H001,5,F
NB09H001,0,M
NB09H002,61,F
NB09H002,11,F
NB09H002,63,M
NB09H004,26,F
NB09H004,50,F
NB09H004,17,F
NB09H004,4,F
NB09H004,27,M
NB09H008,20,F
NB09H008,3,M
NB09H016,0,F
NB09H023,26,F
NB09H023,4,F
NB09H023,0,M
NB09H025,0,F
NB09H026,64,F
NB09H026,11,F
NB10H001,11,F
NB10H001,35,F
NB10H001,41,M
NB10H001,14,M
NB10H040,12,M
NB10H059,11,F
NB10H060,12,F
NB10H060,10,M
NB10H062,6,M
NB10H068,9,F
NB10H068,46,F
NB10H068,85,F
NB10H068,73,M
NB10H070,48,F
NB10H070,14,F
NB10H099,23,M
NB12H001,37,F
NB12H001,19,M
NB12H001,46,M
NB13H004,13,F
NB13H014,1,F
NB13H017,21,F
NB13H017,0,M
NB13H017,85,M
NB13H138,16,F
NB13H138,11,F
NB13H138,53,M
NB13H138,21,M
NB13H310,20,M
NB14H001,66,F
NB14H001,15,M
NB14H001,45,M
NB14H001,16,M
NB14H022,29,M
NB14H022,16,M
NB16H001,9,F
NB16H001,47,F
NB18H001,13,M
NB18H001,37,M
NB18H002,33,F
NB18H002,60,M
NB18H006,38,F
NB18H006,15,M
NB18H010,17,M
NB18H015,33,F
NB18H015,68,F
NB18H015,6,F
NB18H015,8,M
NB18H015,31,M
NB18H015,66,M
NB18H015,10,M
NB18H017,45,F
NB18H017,3,M
NB18H030,53,F
NB18H030,29,F
NB18H030,16,M
NB18H030,28,M
NB18H039,0,F
NB18H049,0,M
NB18H054,38,F
NB18H054,45,M
NB18H054,12,M
NB18H055,22,F
NB18H055,58,F
NB18H055,52,M
NB18H064,45,F
NB18H070,56,F
NB18H070,6,F
NB18H070,57,F
NB18H070,6,F
NB18H079,9,F
NB18H079,39,F
NB18H081,0,F
NB18H089,63,F
