Person,PersonID,House,Mosquito,Age,Gender,WorkRandom,House_XCoord,House_Y_Coord,DENV1,DENV2,DENV3,DENV4,Denv1_time,Denv1_X,Denv1_Y,Denv2_time,Denv2_X,Denv2_Y,Denv3_time,Denv3_X,Denv3_Y,Denv4_time,Denv4_X,Denv4_Y
root.people[1626], 1627, root.buildings[697]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 21.0, M, 0.0, 553422.6271, 1824152.542, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1627], 1628, root.buildings[697]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 17.0, M, 0.0, 553422.6271, 1824152.542, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1628], 1629, root.buildings[697]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 46.0, M, 0.0, 553422.6271, 1824152.542, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1629], 1630, root.buildings[697]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 13.0, M, 1.0, 553422.6271, 1824152.542, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1630], 1631, root.buildings[698]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 38.0, F, 0.0, 554372.3328, 1826909.139, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1631], 1632, root.buildings[698]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 14.0, F, 1.0, 554372.3328, 1826909.139, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1632], 1633, root.buildings[699]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 47.0, F, 0.0, 554974.8058, 1825878.259, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1633], 1634, root.buildings[699]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 15.0, F, 0.0, 554974.8058, 1825878.259, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1634], 1635, root.buildings[699]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 21.0, M, 1.0, 554974.8058, 1825878.259, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1635], 1636, root.buildings[699]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 57.0, M, 0.0, 554974.8058, 1825878.259, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1636], 1637, root.buildings[699]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 4.0, M, 0.0, 554974.8058, 1825878.259, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1637], 1638, root.buildings[700]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 4.0, F, 0.0, 552475.2153, 1829695.816, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1638], 1639, root.buildings[700]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 30.0, M, 0.0, 552475.2153, 1829695.816, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1639], 1640, root.buildings[701]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 50.0, F, 0.0, 555648.5041, 1825337.348, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1640], 1641, root.buildings[701]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 1.0, F, 0.0, 555648.5041, 1825337.348, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1641], 1642, root.buildings[701]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 21.0, M, 0.0, 555648.5041, 1825337.348, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
root.people[1642], 1643, root.buildings[702]( parameter = 0.0, capacityOfMosquitoes = 10.0 ), 22.0, F, 0.0, 552474.7793, 1829594.394, 0, 0, 0, 0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0, null, 0.0, 0.0
